PDB_IDs	Ligand_Codes	Predictions	Labels
1gm8	SOX	4.687	4.80
1gpk	HUP	5.928	5.37
1hnn	SKF	7.301	6.24
1hp0	AD3	3.697	6.70
1hq2	PH2	5.197	6.77
1hvy	D16	7.133	6.17
1hwi	115	7.753	7.55
1hww	SWA	5.994	7.70
1ia1	TQ3	5.871	7.47
1j3j	CP6	4.820	8.01
1jd0	AZM	6.592	8.24
1jje	BYS	5.874	8.43
1ke5	LS1	6.610	6.25
1kzk	JE2	9.210	10.40
1l2s	STC	3.976	4.59
1l7f	BCZ	7.011	9.10
1lpz	CMB	7.748	7.60
1lrh	NLA	5.140	6.82
1m2z	DEX	7.988	7.22
1mmv	3AR	4.934	7.24
1n1m	A3M	6.131	5.70
1n2v	BDI	5.315	4.08
1n46	PFA	9.344	10.52
1nav	IH5	5.871	7.60
1of1	SCT	4.724	4.82
1of6	DTY	5.152	6.05
1opk	P16	7.050	9.82
1oq5	CEL	8.174	7.68
1owe	675	6.235	6.20
1oyt	FSN	7.876	7.24
1p2y	NCT	5.535	5.00
1p62	GEO	4.341	4.66
1pmn	984	7.964	8.15
1q1g	MTI	6.798	8.57
1q41	IXM	7.031	7.66
1q4g	BFL	5.501	6.89
1r1h	BIR	6.479	8.92
1r55	097	5.963	6.80
1r58	AO5	7.169	6.96
1r9o	FLP	4.944	5.02
1s19	MC9	7.394	9.51
1s3v	TQD	6.936	7.42
1sg0	STL	5.755	7.47
1sj0	E4D	8.087	9.10
1sq5	PAU	4.320	4.39
1sqn	NDR	7.667	9.40
1t40	ID5	7.549	7.96
1t46	STI	6.910	6.38
1t9b	1CS	5.403	6.90
1tow	CRZ	6.206	6.24
1tt1	KAI	7.664	7.19
1u1c	BAU	3.970	5.37
1uml	FR4	7.119	7.52
1unl	RRC	6.508	6.70
1uou	CMU	4.164	7.70
1v0p	PVB	6.638	6.89
1v48	HA1	5.008	8.16
1v4s	MRK	6.811	6.44
1vcj	IBA	7.045	4.59
1w1p	GIO	3.448	2.30
1w2g	THM	4.267	4.57
1xm6	5RM	6.704	6.38
1xoq	ROF	8.872	9.17
1xoz	CIA	8.381	8.92
1y6b	AAX	7.435	7.42
1ygc	905	7.948	9.46
1yqy	915	5.675	7.62
1ywr	LI9	7.808	7.49
1z95	198	8.873	7.12
2bm2	PM2	7.370	7.82
2br1	PFP	7.088	5.14
2bsm	BSM	6.529	5.82
