PDB_IDs	Ligand_Codes	Predictions	Labels
1gm8	SOX	6.4267	4.8000
1gpk	HUP	6.1785	5.3700
1hnn	SKF	6.9143	6.2400
1hp0	AD3	3.2339	6.7000
1hq2	PH2	3.8620	6.7700
1hvy	D16	7.1060	6.5400
1hwi	115	8.0754	7.5500
1hww	SWA	5.8415	7.7000
1ia1	TQ3	6.0345	7.4700
1j3j	CP6	5.7290	8.0100
1jd0	AZM	6.8205	8.2400
1jje	BYS	5.6453	8.4300
1ke5	LS1	5.2799	6.2500
1kzk	JE2	9.2310	10.4000
1l2s	STC	4.1718	4.5900
1l7f	BCZ	6.9447	9.1000
1lpz	CMB	7.7864	7.6000
1lrh	NLA	6.6928	3.8200
1m2z	DEX	7.0866	7.2200
1mmv	3AR	6.7389	7.2400
1n1m	A3M	5.1613	5.7000
1n2v	BDI	5.9080	4.0800
1n46	PFA	9.4771	10.5200
1nav	IH5	5.0493	7.6000
1of1	SCT	6.7102	4.8200
1of6	DTY	4.8350	6.0500
1opk	P16	8.0520	9.8200
1oq5	CEL	7.9370	7.6800
1owe	675	6.1227	6.2000
1oyt	FSN	5.8730	7.2400
1p2y	NCT	5.6294	5.0000
1p62	GEO	6.0892	4.6600
1pmn	984	7.8153	8.1500
1q1g	MTI	6.0688	8.5700
1q41	IXM	8.1679	7.6600
1q4g	BFL	5.3732	6.8900
1r1h	BIR	6.9103	8.9200
1r55	097	6.2868	6.8000
1r58	AO5	6.5645	6.9600
1r9o	FLP	6.1727	5.0200
1s19	MC9	7.0800	9.5100
1s3v	TQD	8.3832	7.4200
1sg0	STL	3.9858	7.4700
1sj0	E4D	8.3826	9.1000
1sq5	PAU	5.2122	4.3900
1sqn	NDR	8.1947	9.4000
1t40	ID5	5.2289	7.9600
1t46	STI	7.0299	6.4300
1t9b	1CS	6.5043	6.9000
1tow	CRZ	6.0957	6.2400
1tt1	KAI	7.8185	7.1900
1u1c	BAU	6.2565	5.3700
1uml	FR4	6.9375	7.5200
1unl	RRC	6.5696	6.7000
1uou	CMU	5.7528	7.7000
1v0p	PVB	7.2197	6.8900
1v48	HA1	7.3663	7.8000
1v4s	MRK	7.5048	6.4400
1vcj	IBA	7.3939	4.5900
1w1p	GIO	3.0897	2.3000
1w2g	THM	3.8256	4.5700
1xm6	5RM	7.2521	6.3800
1xoq	ROF	8.7388	9.1700
1xoz	CIA	9.0305	8.9200
1y6b	AAX	7.5018	7.4200
1ygc	905	7.8262	9.4600
1yqy	915	5.6663	7.6200
1ywr	LI9	7.7576	7.8900
1z95	198	7.5790	7.1200
2bm2	PM2	7.4430	7.8200
2br1	PFP	7.0775	5.1400
2bsm	BSM	7.0616	5.8200
