PDB_IDs	Ligand_Codes	Predictions	Labels
4ypw	4FD	4.969	5.50
4ypx	4FG	3.593	4.60
4ypy	4F9	4.468	3.80
4ypz	4FL	4.911	3.50
4yq0	4FM	4.288	4.40
4yq1	4FN	6.800	8.30
4yq2	EFY	6.710	8.30
4yq3	4G1	5.895	6.80
4yq4	4G3	4.298	5.70
4yq5	4G0	4.993	5.40
4yq6	4FX	5.103	6.10
4yq7	4G4	5.501	5.20
4yq8	4FV	5.001	5.10
4yq9	4GO	5.900	6.70
4yqa	4GN	6.323	6.30
4yqb	4GM	5.163	5.90
4yqc	EFW	6.803	6.70
4yqd	4GZ	6.089	5.10
4yqg	4GY	5.092	5.70
4yqi	4GX	4.873	4.80
4yqj	4GT	6.389	6.20
4yqk	4GS	4.510	4.70
4yql	4H4	6.872	4.80
4yqn	4H3	6.551	5.80
4yqo	4H1	6.466	6.30
4yqp	4H6	6.675	5.70
4yqq	4H7	6.776	6.10
4yqr	4HQ	3.712	4.00
4yqs	4H9	4.315	5.60
4yqt	4H8	6.042	6.10
4yjo	4DF	7.295	7.90
4yjp	4DL	7.817	8.46
4yjq	4DK	7.968	7.95
4yjr	4DJ	7.469	7.69
4yjs	4DN	7.722	9.39
4yjt	4DQ	7.294	8.79
4yju	4DO	7.860	7.94
4yjv	4DT	8.059	8.55
4ykr	4EP	6.434	7.53
4ykq	4EO	6.342	7.61
4ykt	4EQ	7.111	8.28
4ykw	4ES	7.162	7.02
4ykx	4ET	5.169	5.56
4ykz	4EV	4.410	5.06
4yky	4EU	4.233	4.30
4yku	4ER	5.652	5.12
