PDB_IDs	Ligand_Codes	Predictions	Labels
1a8i	GLS	4.092	5.52
1a99	PUT	3.003	5.70
1ax0	A2G	4.188	3.13
1b6l	PI4	7.742	8.30
1b6m	PI6	8.218	8.40
1duv	PSQ	4.788	11.80
1dy4	SNP	3.400	4.36
1e2k	TMC	4.673	4.94
1fcx	184	7.225	7.12
1g2k	NM1	8.071	7.96
1gj8	133	5.732	6.96
1gjd	136	5.475	5.22
1gpk	HUP	5.928	5.37
1gyy	FHC	3.793	3.64
1h22	E10	7.318	9.10
1h23	E12	7.516	8.35
1h46	RNP	3.512	3.57
1hnn	SKF	7.301	6.24
1iy7	CXA	6.143	6.19
1kzk	JE2	9.210	10.39
1lrh	NLA	5.140	6.82
1nc1	MTH	7.071	6.12
1nc3	FMC	6.461	5.00
1nli	ADE	3.967	3.59
1nw5	SAM	4.771	5.21
1ow4	2AN	6.623	5.68
1p1n	KAI	5.937	6.80
1p1o	QUS	5.208	5.76
1ps3	KIF	4.501	2.28
1pxp	CK8	6.405	6.66
1r5y	DQU	5.386	6.46
1s38	MAQ	5.308	5.15
1s39	AQO	5.199	7.70
1sr7	MOF	9.103	10.10
1sw1	PBE	4.531	7.30
1syh	CPW	5.443	6.41
1syi	CPW	5.443	5.48
1toj	HCI	3.948	3.39
1tok	MAE	4.086	2.47
1u1w	3HA	4.210	5.85
1ua4	AMP	4.343	4.22
1ui0	URA	3.712	7.06
1utm	PEA	2.601	3.01
1uwu	GOX	5.721	5.98
1uz1	IFL	6.433	6.89
1uz4	IFL	4.228	3.40
1v1j	FA3	4.667	4.82
1w2g	THM	4.267	4.57
1x8d	RNS	3.391	2.21
1xge	DOR	4.641	4.68
1y1m	AC5	5.705	1.82
1y1z	192	5.758	3.08
1y20	1AC	5.883	5.32
1yc1	4BC	6.535	6.17
1ydk	GTX	5.313	5.89
1z95	198	8.873	7.12
2aac	FCB	2.761	2.22
2afx	1BN	5.364	5.15
2ayr	L4G	7.556	9.29
2azr	982	4.129	3.64
2b07	598	5.928	6.43
2boh	IIA	8.288	8.52
2boj	ARW	5.992	5.77
2brb	PFQ	6.502	4.86
2bvd	ISX	4.060	6.00
2byr	MLK	7.847	8.55
2cji	GSK	7.900	8.22
2fai	459	6.278	6.24
2fdp	FRP	8.070	7.59
2ff1	IMH	4.744	8.21
2fpz	270	3.718	3.96
2fqt	H1D	5.218	6.14
2fqw	NOS	4.861	6.68
2fqx	GMP	4.989	7.15
2fqy	ADN	4.871	6.57
2fvd	LIA	6.876	8.52
2fw6	CIT	3.303	2.92
2fxu	BID	6.131	8.15
2h6b	3C4	4.081	5.39
2hb1	512	4.043	3.80
2hdq	C21	2.392	1.40
2hdr	4A3	3.040	1.72
2i0a	MUI	10.278	11.40
2i0d	MUT	9.674	12.10
2il2	LIX	8.382	7.10
2iwx	M1S	5.636	6.68
2j2u	GSQ	7.704	7.05
2j34	GS6	7.918	7.82
2j4i	GSJ	8.278	9.00
2j78	GOX	5.781	6.42
1bcj	NGA	3.028	3.70
1bky	1MC	3.742	3.84
1d4i	BEG	8.399	8.85
1d4j	MSC	7.927	8.36
1eby	BEB	8.056	9.70
1ebz	BEC	8.207	9.40
1ec0	BED	8.135	8.49
1ec1	BEE	7.768	8.92
1ec2	BEJ	7.784	10.00
1enu	APZ	6.069	5.08
1f74	NAY	4.112	3.05
1gi9	123	5.403	5.96
1gww	UDP	4.007	4.28
1gx0	UDP	4.007	4.28
1o5a	696	7.018	6.42
1o5r	FR9	7.391	8.12
1q4w	DQU	5.386	6.46
1qkt	EST	7.604	9.04
1qxl	FR8	7.590	7.96
1rdi	MFU	2.678	2.06
1rdn	NDG	3.269	1.84
1tr7	DEG	6.875	6.82
2a3c	PNX	4.091	4.37
2fv5	541	7.974	10.52
2h21	SAM	4.060	6.54
2hd6	BOS	6.982	7.80
1xl5	190	6.922	7.35
1y93	HAE	5.007	2.10
4ubp	HAE	3.521	5.59
1lhw	ESM	6.533	8.16
1s9t	QUS	6.190	6.60
1tt1	KAI	7.664	7.19
1uzv	FUC	6.164	5.18
2dm5	ODI	5.877	2.99
1xw6	GSH	4.451	5.62
2qrk	AMP	3.850	4.26
2nn1	M28	6.498	5.82
2pou	I7A	7.611	7.42
3cd0	6HI	8.085	7.57
3cda	8HI	7.993	7.58
