PDB_IDs	Ligand_Codes	Predictions	Labels
1a8i	GLS	5.1846	5.5200
1a99	PUT	4.7315	5.7000
1ax0	A2G	4.6833	3.1300
1b6l	PI4	7.0705	8.3000
1b6m	PI6	8.5614	8.4000
1duv	PSQ	4.5839	11.8000
1dy4	SNP	5.4755	4.3600
1e2k	TMC	5.8682	4.9400
1fcx	184	7.0026	7.1200
1g2k	NM1	6.8542	7.9600
1gj8	133	7.0967	6.9600
1gjd	136	6.2112	5.2200
1gpk	HUP	5.5587	5.3700
1gyy	FHC	4.9805	3.6400
1h22	E10	7.0314	9.1000
1h23	E12	6.9448	8.3500
1h46	RNP	6.3148	3.5700
1hnn	SKF	7.1935	6.2400
1iy7	CXA	7.3143	6.1900
1kzk	JE2	10.1190	10.3900
1lrh	NLA	5.2070	6.8200
1nc1	MTH	6.2229	6.1200
1nc3	FMC	6.5274	5.0000
1nli	ADE	4.4184	3.5900
1nw5	SAM	4.2291	5.2100
1ow4	2AN	6.7142	5.6800
1p1n	KAI	5.5660	6.8000
1p1o	QUS	4.7483	5.7600
1ps3	KIF	5.7628	2.2800
1pxp	CK8	6.1887	6.6600
1r5y	DQU	4.5221	6.4600
1s38	MAQ	4.9253	5.1500
1s39	AQO	4.3035	7.7000
1sr7	MOF	8.7900	10.1000
1sw1	PBE	5.6736	7.3000
1syh	CPW	5.1298	6.4100
1syi	CPW	5.1298	5.4800
1toj	HCI	3.4937	3.3900
1tok	MAE	4.6266	2.4700
1u1w	3HA	4.5037	5.8500
1ua4	AMP	5.2961	4.2200
1ui0	URA	4.0793	7.0600
1utm	PEA	3.5809	3.0100
1uwu	GOX	4.4184	5.9800
1uz1	IFL	5.2565	6.8900
1uz4	IFL	5.4581	3.4000
1v1j	FA3	4.0955	4.8200
1w2g	THM	3.7572	4.5700
1x8d	RNS	3.6643	2.2100
1xge	DOR	4.3051	4.6800
1y1m	AC5	4.9740	1.8200
1y1z	192	4.9921	3.0800
1y20	1AC	5.0699	5.3200
1yc1	4BC	6.4811	6.1700
1ydk	GTX	2.9400	5.8900
1z95	198	7.5974	7.1200
2aac	FCB	4.5855	2.2200
2afx	1BN	5.8886	5.1500
2ayr	L4G	8.0129	9.2900
2azr	982	3.7341	3.6400
2b07	598	6.2468	6.4300
2boh	IIA	8.3831	8.5200
2boj	ARW	4.3601	5.7700
2brb	PFQ	4.8399	4.8600
2bvd	ISX	5.6485	6.0000
2byr	MLK	8.6043	8.5500
2cji	GSK	8.0972	8.2200
2fai	459	6.2925	6.2400
2fdp	FRP	7.2126	7.5900
2ff1	IMH	8.8712	8.2100
2fpz	270	4.4992	3.9600
2fqt	H1D	5.4049	6.1400
2fqw	NOS	6.9552	6.6800
2fqx	GMP	7.5823	7.1500
2fqy	ADN	6.8543	6.5700
2fvd	LIA	7.3296	8.5200
2fw6	CIT	2.6912	2.9200
2fxu	BID	7.5604	8.1500
2h6b	3C4	4.7460	5.3900
2hb1	512	3.5488	3.8000
2hdq	C21	3.3774	1.4000
2hdr	4A3	3.0884	1.7200
2i0a	MUI	10.1399	11.4000
2i0d	MUT	10.0841	12.1000
2il2	LIX	7.6283	7.1000
2iwx	M1S	6.6931	6.6800
2j2u	GSQ	7.5683	7.0500
2j34	GS6	7.9399	7.8200
2j4i	GSJ	8.0836	9.0000
2j78	GOX	4.8084	6.4200
1bcj	NGA	3.8140	3.7000
1bky	1MC	3.2276	3.8400
1d4i	BEG	7.8375	8.8500
1d4j	MSC	7.6819	8.3600
1eby	BEB	8.4701	9.7000
1ebz	BEC	7.9054	9.4000
1ec0	BED	8.8839	8.4900
1ec1	BEE	8.6590	8.9200
1ec2	BEJ	7.1891	10.0000
1enu	APZ	4.0993	5.0800
1f74	NAY	5.0263	3.0500
1gi9	123	4.9811	5.9600
1gww	UDP	4.2890	4.2800
1gx0	UDP	4.2890	4.2800
1o5a	696	5.8582	6.4200
1o5r	FR9	7.8949	8.1200
1q4w	DQU	4.5221	6.4600
1qkt	EST	7.8981	9.0400
1qxl	FR8	8.4558	7.9600
1rdi	MFU	3.8486	2.0600
1rdn	NDG	3.7717	1.8400
1tr7	DEG	7.1895	6.8200
2a3c	PNX	4.3761	4.3700
2fv5	541	8.9207	10.5200
2h21	SAM	4.5906	6.5400
2hd6	BOS	7.9726	7.8000
1xl5	190	9.2824	7.3500
1y93	HAE	4.9725	2.1000
4ubp	HAE	5.1212	5.5900
1lhw	ESM	6.3393	8.1600
1s9t	QUS	5.5741	6.6000
1tt1	KAI	7.2425	7.1900
1uzv	FUC	4.7580	5.1800
2dm5	ODI	5.8264	2.9900
1xw6	GSH	4.5165	5.6200
2qrk	AMP	4.3145	4.2600
2nn1	M28	5.6190	5.8200
2pou	I7A	7.8206	7.4200
3cd0	6HI	6.8223	7.5700
3cda	8HI	7.8426	7.5800
