PDB_IDs	Ligand_Codes	Predictions	Labels
4ypw	4FD	5.4032	5.5000
4ypx	4FG	3.4884	4.6000
4ypy	4F9	4.3351	3.8000
4ypz	4FL	4.1709	3.5000
4yq0	4FM	5.2061	4.4000
4yq1	4FN	6.9894	8.3000
4yq2	EFY	6.9431	8.3000
4yq3	4G1	7.1886	6.8000
4yq4	4G3	5.1583	5.7000
4yq5	4G0	5.3733	5.4000
4yq6	4FX	5.4322	6.1000
4yq7	4G4	5.8541	5.2000
4yq8	4FV	4.9121	5.1000
4yq9	4GO	6.1210	6.7000
4yqa	4GN	5.7672	6.3000
4yqb	4GM	5.0581	5.9000
4yqc	EFW	6.6525	6.7000
4yqd	4GZ	7.1760	5.1000
4yqg	4GY	4.7032	5.7000
4yqi	4GX	3.9424	4.8000
4yqj	4GT	5.2904	6.2000
4yqk	4GS	5.0841	4.7000
4yql	4H4	6.5427	4.8000
4yqn	4H3	6.6032	5.8000
4yqo	4H1	6.5474	6.3000
4yqp	4H6	6.2060	5.7000
4yqq	4H7	6.5931	6.1000
4yqr	4HQ	3.6843	4.0000
4yqs	4H9	4.4025	5.6000
4yqt	4H8	5.1777	6.1000
4yjo	4DF	7.2255	7.9000
4yjp	4DL	6.9105	8.4600
4yjq	4DK	7.4315	7.9500
4yjr	4DJ	7.0295	7.6900
4yjs	4DN	6.7958	9.3900
4yjt	4DQ	7.1592	8.7900
4yju	4DO	7.2164	7.9400
4yjv	4DT	7.3736	8.5500
4ykr	4EP	7.0763	7.5300
4ykq	4EO	6.8087	7.6100
4ykt	4EQ	7.4255	8.2800
4ykw	4ES	6.5811	7.0200
4ykx	4ET	5.4974	5.5600
4ykz	4EV	5.0425	5.0600
4yky	4EU	4.9955	4.3000
4yku	4ER	5.6990	5.1200
